0,0,0,C27H26O17               
0,0,0,C27H26O17               
0,0,0,C27H26O18               
0,0,0,C27H26O18               
0,0,0,C27H26O19               
0,0,0,C27H26O19               
0,0,0,C27H26O20               
0,0,0,C27H26O20               
0,0,0,C27H26O7               
0,0,0,C27H26O7               
0,0,0,C27H28O10               
0,0,0,C27H28O10               
0,0,0,C27H28O13               
0,0,0,C27H28O13               
0,0,0,C27H28O14               
0,0,0,C27H28O14               
0,0,0,C27H28O15               
0,0,0,C27H28O15               
0,0,0,C27H28O16               
0,0,0,C27H28O16               
0,0,0,C27H28O17               
0,0,0,C27H28O17               
0,0,0,C27H28O18               
0,0,0,C27H28O18               
0,0,0,C27H28O19               
0,0,0,C27H28O19               
0,0,0,C27H28O6               
0,0,0,C27H28O6               
0,0,0,C27H28O7               
0,0,0,C27H28O7               
0,0,0,C27H29O17               
0,0,0,C27H29O17               
0,0,0,C27H30O10               
0,0,0,C27H30O10               
0,0,0,C27H30O11               
0,0,0,C27H30O11               
0,0,0,C27H30O13               
0,0,0,C27H30O13               
0,0,0,C27H30O14               
0,0,0,C27H30O14               
0,0,0,C27H30O15               
0,0,0,C27H30O15               
0,0,0,C27H30O16               
0,0,0,C27H30O16               
0,0,0,C27H30O17               
0,0,0,C27H30O17               
0,0,0,C27H30O18               
0,0,0,C27H30O18               
0,0,0,C27H30O18S               
0,0,0,C27H30O18S               
0,0,0,C27H30O19S               
0,0,0,C27H30O19S               
0,0,0,C27H30O6               
0,0,0,C27H30O6               
0,0,0,C27H30O7               
0,0,0,C27H30O7               
0,0,0,C27H31HO13               
0,0,0,C27H31HO13               
0,0,0,C27H31HO14               
0,0,0,C27H31HO14               
0,0,0,C27H31HO15               
0,0,0,C27H31HO15               
0,0,0,C27H31NO14               
0,0,0,C27H31NO14               
0,0,0,C27H31O14               
0,0,0,C27H31O14               
0,0,0,C27H31O15               
0,0,0,C27H31O15               
0,0,0,C27H31O16               
0,0,0,C27H31O16               
0,0,0,C27H31O17               
0,0,0,C27H31O17               
0,0,0,C27H32O11               
0,0,0,C27H32O11               
0,0,0,C27H32O12               
0,0,0,C27H32O12               
0,0,0,C27H32O13               
0,0,0,C27H32O13               
0,0,0,C27H32O14               
0,0,0,C27H32O14               
0,0,0,C27H32O15               
0,0,0,C27H32O15               
0,0,0,C27H32O16               
0,0,0,C27H32O16               
0,0,0,C27H32O17               
0,0,0,C27H32O17               
0,0,0,C27H32O5               
0,0,0,C27H32O5               
0,0,0,C27H32O6               
0,0,0,C27H32O6               
0,0,0,C27H32O7               
0,0,0,C27H32O7               
0,0,0,C27H34O11               
0,0,0,C27H34O11               
0,0,0,C27H34O15               
0,0,0,C27H34O15               
0,0,0,C27H34O16               
0,0,0,C27H34O16               
0,0,0,C27H34O17               
0,0,0,C27H34O17               
0,0,0,C27H34O5               
0,0,0,C27H34O5               
0,0,0,C27H34O9               
0,0,0,C27H34O9               
0,0,0,C28H38Cl2N7O17P3S               
0,0,0,C28H39ClN7O17P3S               
0,0,0,C28H40N7O17P3S               
0,0,0,C28H40N7O18P3S               
0,0,0,C28H41N8O17P3S               
0,0,0,C28H44N7O18P3S               
0,0,0,C28H44N7O19P3S               
0,0,0,C28H44N7O20P3S               
0,0,0,C28H46N7O19P3S               
0,0,0,C28H46N7O20P3S               
0,0,0,C28H49N8O17P3S               
0,0,0,C28H51N8O18P3S               
